year,date,type,registration,operator,fatalities,location,damage
2003,8 May 2003,North American Rockwell Sabreliner 40A,N250EC,"D.R. Congo Government, lsf Professional Maintenance Services",0,near Bunia Airport (BUX),w/o
2003,8 May 2003,Ilyushin Il-76MD,UR-UCB,"Air Force of the D.R. Congo, lsf Ukrainian Cargo Airways",7,near Kinshasa,sub
2003,10 May 2003,Antonov An-2R,UK-68038,Uzbekistan Airways,,,sub
2003,11 May 2003,Antonov An-12B,ER-AXD,Pecotox Air,0,Asmara International Airport (ASM),w/o
2003,14 May 2003,Fokker 100,F-GNLH,Blue Line,0,Paris-Charles de Gaulle Airport (CDG),sub
2003,15 May 2003,North American Rockwell Sabreliner 60,N856MA,Private,,unknown,w/o
2003,15 May 2003,Beechcraft 200C Super King Air,VH-AMR,Royal Flying Doctor Service,0,"6 km NE of Coffs Harbour Airport, NSW (CFS)",w/o
2003,15 May 2003,Cessna 208B Super Cargomaster,N208AD,DK&L Company,0,"7 km W of Lorain County Regional Airport, OH (LPR)",sub
2003,16 May 2003,Antonov An-3T,RA-05881,Polyarnye Avialinii,0,45 km from Sangara,w/o
2003,16 May 2003,Antonov An-12BK,T-307,Força Aérea Popular de Angola,4,near Menongue,w/o
2003,18 May 2003,Beechcraft B300 King Air 350,N2SM,Oso-Rio LLC,0,"Houston-West Houston Airport, TX (IWS)",w/o
2003,20 May 2003,Boeing 757-223,N692AA,American Airlines,0,"Santa Ana, California",sub
2003,21 May 2003,Saab 340B,N277MJ,Colgan Air opf US Airways Express,0,"New York-La Guardia Airport, NY (LGA/KLGA)",sub
2003,21 May 2003,Learjet U-36A,9202,Japan Maritime Self Defence Force - JMSDF,4,Iwakuni MCAS,w/o
2003,22 May 2003,de Havilland Canada DHC-3 Otter,C-GGON,Whiteshell Air Service,0,"4 km E of Lac du Bonnet, MB",sub
2003,24 May 2003,Boeing 737-3H4,N343SW,Southwest Airlines,0,"Amarillo International Airport, TX (AMA)",sub
2003,26 May 2003,Yakovlev Yak-42D,UR-42352,Ukrainian-Mediterranean Airlines,75,"3,5 km E of Maçka",w/o
2003,27 May 2003,Antonov An-12BP,9L-LCR,Showa Air,0,Goma Airport (GOM),w/o
2003,28 May 2003,Cessna 560 Citation Encore+,D-CAUW,AW Aerowest,0,Leeds/Bradford Airport (LBA),sub
2003,29 May 2003,Boeing 717-231,VH-VQI,"QantasLink, opb Impulse Airlines",0,"Melbourne-Tullamarine Airport, VIC (MEL)",non
2003,1 Jun 2003,Learjet 45,I-ERJC,Eurojet Italia,2,"0,3 km E of Milano-Linate Airport (LIN)",w/o
2003,2 Jun 2003,Embraer EMB-120ER,N299UX,Great Lakes Airlines,0,"Denver International Airport, CO (DEN/KDEN)",sub
2003,2 Jun 2003,North American Rockwell CT-39E Sabreliner,XA-AAW,Jett Paqueteria,0,"Laredo International Airport, TX (LRD)",w/o
2003,2 Jun 2003,Rockwell T-39D Sabreliner,XA-AAH,Jett Paqueteria,0,"Laredo International Airport, TX (LRD)",w/o
2003,2 Jun 2003,Rockwell T-39D Sabreliner,XA-AAJ,Jett Paqueteria,0,"Laredo International Airport, TX (LRD)",w/o
2003,2 Jun 2003,Rockwell T-39D Sabreliner,XA-AAF,Jett Paqueteria,0,"Laredo International Airport, TX (LRD)",w/o
2003,2 Jun 2003,Rockwell T-39D Sabreliner,XA-AAI,Jett Paqueteria,0,"Laredo International Airport, TX (LRD)",w/o
2003,2 Jun 2003,Rockwell T-39D Sabreliner,XA-AAG,Jett Paqueteria,0,"Laredo International Airport, TX (LRD)",w/o
2003,2 Jun 2003,de Havilland Canada DHC-8-311Q Dash 8,D-BHAT,"Lufthansa, opb Augsburg Airways",0,en route,non
2003,2 Jun 2003,Airbus A319-112,N910FR,Frontier Airlines,0,"near Denver, Colorado",non
2003,5 Jun 2003,de Havilland Canada DHC-6 Twin Otter 300,C-GOGC,Ontario Ministry of Natural Resources,0,"Lake Wicksteed, ON",w/o
2003,5 Jun 2003,Airbus A320-231,N644AW,America West Airlines,0,"Payson, AZ",non
2003,7 Jun 2003,Boeing 767-346,JA8980,Japan Air Lines - JAL,0,Fukuoka Airport (FUK/RJFF),non
2003,8 Jun 2003,Britten-Norman BN-2A-8 Islander,PT-KQS,Antonio Marica Barbosa Teixeira,0,"near Porto Belo Farm, RJ",sub
2003,12 Jun 2003,McDonnell Douglas MD-82,N451AA,American Airlines,0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",non
2003,14 Jun 2003,Antonov An-32B,CR866,Sri Lanka Air Force,0,Jaffna-Palaly Airport (JAF/VCCJ),w/o
2003,14 Jun 2003,Antonov An-24RV,CU-T1295,Cubana de Aviación,0,Nueva Gerona-Rafael Cabrera Airport (GER),w/o
2003,16 Jun 2003,Airbus A320-231,C-GTDK,"MyTravel, lsf Skyservice Airlines",0,Bristol Airport (BRS),sub
2003,16 Jun 2003,Fokker 50,ST-ARA,Mid Airlines,0,Adar Yel,w/o
2003,17 Jun 2003,McDonnell Douglas MD-88,TC-ONP,Onur Air,0,Groningen-Eelde Airport (GRQ),sub
2003,18 Jun 2003,Airbus A330-342,B-HYA,Dragonair,0,within Manila FIR,min
2003,18 Jun 2003,Embraer EMB-145LR,N294SK,Chautauqua Airlines,0,"Taylor, FL",non
2003,18 Jun 2003,Antonov An-124-100,UR-82029,Antonov Design Bureau,0,Roma-Fiumicino Airport (FCO/LIRF),sub
2003,21 Jun 2003,Embraer ERJ-135LR,N708AE,American Eagle,0,"Toronto-Pearson International Airport, ON (YYZ/CYYZ)",sub
2003,22 Jun 2003,Canadair CL-600-2B19 Regional Jet CRJ-100ER,F-GRJS,Brit Air,1,2 km from Brest-Guipavas Airport (BES),w/o
2003,23 Jun 2003,Boeing 757-232,N633DL,Delta Air Lines,0,"Tampa, FL",non
2003,24 Jun 2003,Embraer EMB-135KL,N839AE,American Eagle Airlines,0,"Boston-Logan International Airport, MA (BOS/KBOS)",sub
2003,24 Jun 2003,Tupolev Tu-134SKh,RA-65929,Voronezh Avia,0,Nyagan Airport,w/o
2003,25 Jun 2003,Lockheed C-130 Hercules,,Islamic Republic of Iran Air Force - IRIAF,7,near Rudshour,w/o
2003,26 Jun 2003,Boeing 777-236ER,G-VIIA,British Airways,0,"Near Reigate, Surrey",sub
2003,26 Jun 2003,Cessna 208B Grand Caravan,V5-CAS,Comav Aviation,4,near Rooisand Desert Ranch,w/o
2003,30 Jun 2003,Lockheed C-130H Hercules,7T-WHQ,Al Quwwat al-Jawwiya al-Jaza'eriya,5+10,Blida,w/o
2003,xx Jun 2003,Let L-410UVP,FLARF01192,Aeroklub KVS,0,near Myachkovo Airport,w/o
2003,3 Jul 2003,Cessna 208B Grand Caravan,HP-1403APP,"Servicios Aéreos Nacionales - SANSA, lsf AeroPerlas",0,near Bahía Ballena,sub
2003,6 Jul 2003,Boeing 737-236,LV-ZTY,Aerolineas Argentinas,0,"Córdoba Airport, CD",min
2003,8 Jul 2003,Boeing 737-2J8C,ST-AFK,Sudan Airways,116,5 km E of Port Sudan,w/o
2003,9 Jul 2003,Cessna 208B Grand Caravan,N410GV,Hageland Aviation Services,0,"50 miles northwest of Kotzebue , Alaska",non
2003,10 Jul 2003,Lockheed P-3C Orion,163005,United States Navy,0,"Jacksonville NAS, FL (NIP)",w/o
2003,11 Jul 2003,Boeing 707-3J6C,5X-AMW,Air Memphis,0,Dhaka-Zia International Airport (DAC),w/o
2003,13 Jul 2003,Let L-410UVP-E,YV-1060CP,Ruiban and Duran C.A.,4,near San Cristobal,w/o
2003,16 Jul 2003,Lockheed L-188A Electra,C-GFQA,Air Spray (1967),2,"4,6 km S of Cranbrook, BC",w/o
2003,17 Jul 2003,Boeing 777-222,N779UA,United Airlines,0,"Chicago, IL",non
2003,18 Jul 2003,McDonnell Douglas MD-83,SE-RDL,"Nordic Airlink, opf AviaJet",0,Londonderry-Eglinton Airport (LDY/EGAE),sub
2003,19 Jul 2003,Swearingen SA226-TC Metro II,ZS-OYI,Ryan Blake Air Charter,14,Mount Kenya,w/o
2003,20 Jul 2003,Cessna 550 Citation II,C-GKAU,Jetair,0,"Montreal-Pierre Elliott Trudeau International Airport, QC (YUL/CYUL)",min
2003,22 Jul 2003,Cessna 525 CitationJet,N996JR,Tango Corp.,0,"Oak Harbor, WA",sub
2003,22 Jul 2003,Boeing 757-251,N504US,Northwest Airlines,0,"Wadsworth, OH",non
2003,23 Jul 2003,Cessna 551 Citation II/SP,PT-LME,Água Limpa Transportes Ltda,1,"Sorocaba, SP",w/o
2003,1 Aug 2003,Boeing 717-200,N970AT,AirTran Airways,0,"Atlanta, Georgia",sub
2003,2 Aug 2003,Tupolev Tu-154M,RA-85847,Avialinii 400,0,Faro Airport (FAO),min
2003,2 Aug 2003,Antonov An-2TP,D-FONE,Sachsische Luftfahrt Service,0,Welzow,sub
2003,2 Aug 2003,Douglas C-54G-10-DO (DC-4),C-GBSK,Buffalo Airways,0,"Ulu mine strip, NT",w/o
2003,3 Aug 2003,McDonnell Douglas MD-82,N7527A,American Airlines,0,"Charlotte, NC",non
2003,4 Aug 2003,Learjet 35A,N135PT,Air East Management,2,"Groton, CT",w/o
2003,6 Aug 2003,Airbus A340-311,D-AIGK,Lufthansa,0,"Walnut Ridge, Arkansas",min
2003,7 Aug 2003,McDonnell Douglas MD-81,N814ME,Midwest Airlines,0,"Greeley, CO",non
2003,8 Aug 2003,Cessna 208B Grand Caravan,YV-1069C,Servicios Aéreos Sucre - SASCA,1,Tocomita,w/o
2003,8 Aug 2003,Boeing 737-400,D-....,,0,Alexandria-Borg El Arab Airport (HBE),sub
2003,11 Aug 2003,Boeing 737-228 Adv,LV-ZXP,Aerolineas Argentinas,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP/SABE)",min
2003,11 Aug 2003,Fokker F-28 Fellowship 3000R,PK-GFT,Garuda Indonesia Airways,0,Jakarta-Soekarno-Hatta International Airport (CGK),sub
2003,12 Aug 2003,Beechcraft C-12F Huron  (A200CF Super King Air),84-0169,United States Army,2,"11,3 km SW of Pyongtaek-Desiderio AAF",w/o
2003,13 Aug 2003,Let L-410UVP,9XR-JT,Lexus Aviation,0,Rumbek,w/o
2003,14 Aug 2003,Learjet 35A,N403FW,Air America Flight Services,0,Cancún Airport (CUN),sub
2003,14 Aug 2003,Boeing 747-433 (M),C-GAGL,Air Canada,0,"Montreal-Pierre Elliott Trudeau International Airport, QC (YUL/CYUL)",sub
2003,15 Aug 2003,Boeing 737-33V,HB-III,easyJet Switzerland,0,over Oyonnax,sub
2003,16 Aug 2003,Canadair CL-215-6B11 (CL-415),I-DPCN,"SOREM, lsf Dipartimento della Protezione Civile Italiana",0,3 km S of Esine,w/o
2003,16 Aug 2003,Beechcraft T-1A Jayhawk,91-0093,United States Air Force - USAF,0,"Biloxi-Keesler AFB, MS (BIX)",sub
2003,16 Aug 2003,Boeing 737-83N,N329TZ,American Trans Air,0,"Wooster, OH",non
2003,17 Aug 2003,Reims Cessna F406 Caravan II,N6591L,Hageland Aviation Services,2,"50 km SW off Barrow, AK",w/o
2003,18 Aug 2003,Raytheon Beechjet 400A,N51NP,"Executive Beechcraft, Inc.",0,"St. Augustine Airport, FL (UST)",sub
2003,19 Aug 2003,Lockheed L-1011-385-3 TriStar 500,CS-TMP,Air Luxor,0,"Runway 23, London Stansted Airport, Bassingbourn Road, Stansted, Essex",sub
2003,19 Aug 2003,Beechcraft 1900D,N79SK,Skyway Airlines,0,"Muskegon, Michigan",sub
2003,19 Aug 2003,Cessna 208B Grand Caravan,5Y-TWI,Transworld Safaris,0,Old Fangak,w/o
2003,19 Aug 2003,Boeing 737,,Air Algérie,0,Oran-es Senia Airport (ORN),non
2003,21 Aug 2003,Fokker F-27 Friendship 400M,G525 F,Ghana Air Force,0,Accra-Kotoka Airport (ACC),sub
2003,22 Aug 2003,Reims Cessna F406 Caravan II,ZK-VAF,Vincent Aviation,0,"Darwin Airport, NT (DRW)",sub
2003,24 Aug 2003,Let L-410UVP-E3,HH-PRV,Tropical Airways,21,2 km SW of Cap Haitien Airport (CAP),w/o
2003,26 Aug 2003,Beechcraft 1900D,N240CJ,"US Airways Express, opb Colgan Air",2,"5 km S of Hyannis, MA",w/o
2003,27 Aug 2003,Antonov An-2R,LY-KAE,private,0,near Målöga,sub
2003,30 Aug 2003,Cessna 208B Grand Caravan,N786DM,Isla Nena Air Services,0,near Culebra Airport (CPX),sub
2003,2 Sep 2003,McDonnell Douglas MD-82,N454AA,American Airlines,0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",sub
2003,4 Sep 2003,Fokker 100,N1450A,American Airlines,0,"New York-La Guardia Airport, NY (LGA/KLGA)",sub
2003,4 Sep 2003,IRMA/Britten-Norman BN-2A-27 Islander,N630VC,Venagas Construction Corporation,0,near Cayey,w/o
2003,11 Sep 2003,Cessna 208B Grand Caravan,C-FKAB,Wasaya Airways,8,"10 km NW of Summer Beaver, ON",w/o
2003,12 Sep 2003,Beechcraft B200 Super King Air,N600BV,Willis Lease Finance Corporation,10,"ca 1,5 km N off Caniçal, Madeira Island",w/o
2003,12 Sep 2003,McDonnell Douglas DC-9-51,N776NC,Northwest Airlines,0+1,"Norfolk International Airport, VA (ORF/KORF)",min
2003,14 Sep 2003,Let L-410UVP,9XR-AL,ACS Ltd.,0,Lankein,w/o
2003,17 Sep 2003,British Aerospace 3102 Jetstream 31,G-EEST,Eastern Airways,0,Wick Airport (WIC),w/o
2003,17 Sep 2003,British Aerospace 3212 Jetstream 32EP,SE-LNT,European Executive Express,0,Luleå-Kallax Airport (LLA),w/o
2003,19 Sep 2003,Learjet 25B,N666TW,Ameristar Jet Charter,1,"Del Rio International Airport, TX (DRT)",w/o
2003,19 Sep 2003,Lockheed C-130A Hercules,3603,Fuerza Aérea Mexicana,6,near La Quemada,w/o
2003,20 Sep 2003,British Aerospace BAe-125-700A,N45BP,Star Flite Aviation,3,"24 km NW of Beaumont, TX",w/o
2003,21 Sep 2003,de Havilland Canada DHC-8-202,N455YV,Mesa Airlines,0,"Phoenix-Sky Harbor International Airport, AZ (PHX/KPHX)",sub
2003,23 Sep 2003,Cessna 525 CitationJet CJ1,OE-...,,0,Vienna,sub
2003,24 Sep 2003,Antonov An-12,ST-SAR,Sarit Airlines,0,Wau Airport (WUU),sub
2003,24 Sep 2003,Embraer ERJ-145LU,LX-LGZ,Luxair,0,Luxembourg-Findel Airport (LUX),sub
2003,25 Sep 2003,Grumman HU-16C Albatross,N70258,Corsair Aviation Holdings Inc,2,"5 km NW of Fort Pierce-Saint Lucie County Airport, FL (FPR)",w/o
2003,27 Sep 2003,Embraer EMB-135,N733KR,American Eagle Airlines,0,"New York-La Guardia Airport, NY (LGA/KLGA)",sub
2003,1 Oct 2003,Boeing 747-271C (SCD),4X-ICM,Cargo Air Lines,0,Liège-Bierset Airport (LGG),sub
2003,2 Oct 2003,Douglas DC-3,,Unknown,0,Bocas del Rosario,w/o
2003,3 Oct 2003,Lockheed SP-2H Neptune,N299MA,Minden Air Corporation,2,"East Highlands, CA",w/o
2003,3 Oct 2003,Convair CV-580F,ZK-KFU,Air Freight NZ,2,10 km N off Paraparaumu,w/o
2003,4 Oct 2003,Boeing 737-823,N972AN,American Airlines,0,"Boston, Massachusetts",sub
2003,7 Oct 2003,Boeing 777-222ER,N222UA,United Airlines,0,"San Francisco International Airport, CA (SFO/KSFO)",sub
2003,7 Oct 2003,Embraer EMB-145,,,0,Stuttgart Airport (STR),sub
2003,7 Oct 2003,Embraer EMB-145,,,0,Stuttgart,sub
2003,9 Oct 2003,Antonov An-2TP,RA-01440,Mirny Air Enterprise,0,49 km from Amakinskaya,sub
2003,11 Oct 2003,Antonov An-2TP,YV-1128C,Transmandu,1,near Uriman,w/o
2003,13 Oct 2003,Antonov An-2T,YV-901C,Aéreo Transporte La Montaña,0,near La Paragua,w/o
2003,14 Oct 2003,Cessna 208 Caravan I,5Y-BOY,Air Kenya,0,Nairobi-Wilson Airport (WIL),sub
2003,16 Oct 2003,Airbus A319-112,N764US,US Airways,0,"Tampa, FL",non
2003,20 Oct 2003,Fokker F-27 Friendship 600,PT-TVA,TAVAJ Linhas Aéreas,0,"Tarauacá Airport, AC (TRQ)",w/o
2003,22 Oct 2003,Boeing 747-281F (SCD),JA8191,Nippon Cargo Airlines,0,Tokyo-Narita Airport (NRT),sub
2003,26 Oct 2003,Fairchild FH-227B,LV-MGV,CATA Linea Aérea,5,"5 km SSE of Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE)",w/o
2003,27 Oct 2003,British Aerospace BAe-125-800A,XA-ISH,Aeroxtra,3,"2,4 km from Las Potrancas Ranch Airstrip",w/o
2003,29 Oct 2003,Cessna 208B Super Cargomaster,N791FE,"Corporate Air, lsf FedEx",1,"0,5 km SW of Cody-Yellowstone Regional Airport, WY (COD)",sub
2003,30 Oct 2003,Antonov An-28,ER-AJG,"Trans Kasai Air, lsf Tepavia Trans",,"0,8 km from Kamina Airport (KMN)",w/o
2003,1 Nov 2003,Fairchild SA227-BC Metro III,N787KL,Key Lime Air,0,"Rawlins, Wyoming",sub
2003,1 Nov 2003,Boeing 737-522,N956UA,United Airlines,0,"Denver International Airport, CO (DEN/KDEN)",non
2003,3 Nov 2003,Antonov An-12BP,EK11997,Sarit Airlines,0,Geneina Airport (EGN),w/o
2003,7 Nov 2003,de Havilland Canada DHC-6 Twin Otter 310,VP-FBB,British Antarctic Survey,0,Rothera Research Station,sub
2003,8 Nov 2003,Shorts SC.7 Skyvan 3M-100,8R-GMC,Trans Guyana Airways,2,near Ogle Airport (OGL),w/o
2003,11 Nov 2003,Cessna 560XL,N789CN,West Coast Charters Inc,0,"Wheeling, Illinois",sub
2003,12 Nov 2003,Saab 340B,N442XJ,Mesaba Airlines,0,"Minneapolis, Minnesota",sub
2003,12 Nov 2003,Learjet 24D,N77JL,"Multi-Aero, Inc.",0,"Belleville, IL",w/o
2003,12 Nov 2003,ATR 42-300,G-SSEA,Air Wales,0,50 NM Southeast of Dublin,non
2003,13 Nov 2003,Cessna 208B,N717BT,"Baltimore Air Transport, Inc./corpjet",0,"Phoenix, Arizona",sub
2003,14 Nov 2003,Boeing 747-422,N178UA,United Airlines,0,"San Francisco International Airport, CA (SFO)",sub
2003,17 Nov 2003,Antonov An-12BP,ST-SAA,Sarit Airlines,13,6 km from Wau,w/o
2003,18 Nov 2003,Swearingen SA226-TC Metro II,N332BA,Key Lime Air,0,"Grand Junction-Walker Field, CO (GJT)",sub
2003,18 Nov 2003,Cessna 550 Citation II,N418MA,Haalo Ltd.,0,"Mineral Wells Airport, TX (MWL)",w/o
2003,21 Nov 2003,Hawker Siddeley HS-125-403B,D2-EXR,Intertransit,0,Luanda-4 de Fevereiro Airport (LAD),sub
2003,21 Nov 2003,Douglas C-47A-1-DK (DC-3),ZS-BXF,SAA Historic Flight,0,"3,7 km E of Lanseria Airport (HLA)",sub
2003,22 Nov 2003,Airbus A300B4-203 (F),OO-DLL,European Air Transport,0,near Baghdad International Airport (BGW),sub
2003,24 Nov 2003,Beechcraft 1900C,N112AX,Alaska Central Express,0,"Juneau, Alaska",sub
2003,28 Nov 2003,Boeing 747-287B,LV-OOZ,Aerolineas Argentinas,0,"Buenos Aires/Ezeiza Airport, BA (SAEZ)",min
2003,29 Nov 2003,Boeing 747-258C,ZS-OOS,Hydro Air Cargo,0,Lagos-Murtala Muhammed Airport (LOS),w/o
2003,29 Nov 2003,Swearingen SA227-AT Merlin IVC,N439AF,Ameriflight,1,"5,5 km E of Spokane-Felts Field, WA (SFF)",w/o
2003,29 Nov 2003,Antonov An-26,9T-TAD,Force Aérienne Congolaise,20+13,Boende Airport (BNB),w/o
2003,1 Dec 2003,Let L-410UVP-E,5N-BFL,Millenium Air,0,Kano-Aminu Kano International Airport (KAN),w/o
2003,2 Dec 2003,Canadair CRJ-100ER,N916CA,"Delta Connection, opb Comair",0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",sub
2003,3 Dec 2003,Swearingen SA226-TC Metro II,N60U,Key Lime Air,0,"Denver International Airport, CO (DEN)",w/o
2003,4 Dec 2003,Cessna 525 CitationJet CJ1,N15C,Private,0,"San Diego, California",sub
2003,4 Dec 2003,Beechcraft B200 Super King Air,N85BK,Southeastern Air Charter,2,"1,6 km S of Atlanta-Newnan Coweta County Airport, GA",w/o
2003,4 Dec 2003,Dornier 228-202,LN-HTA,Kato Air,0,Bodø Airport (BOO),w/o
2003,7 Dec 2003,Fokker F-28 Fellowship 4000,5Y-NNN,East African Safari Air,0,Lokichoggio Airport (LKG),w/o
2003,9 Dec 2003,McDonnell Douglas C-17A Globemaster III,98-0057,United States Air Force - USAF,0,near Baghdad International Airport (SDA),sub
2003,12 Dec 2003,IRMA/Britten-Norman BN-2A-21 Islander,RP-C868,Chemtrad Aviation,3,"Barangay Dinapnat, Divilacan town, Isabela",w/o
2003,13 Dec 2003,Boeing 737-2A9,OB-1544-P,Aero Continente,0,Lima-J Chavez International Airport (LIM),w/o
2003,14 Dec 2003,Canadair CRJ-200LR,N445AW,"Air Wisconsin, opf AirTran JetConnect",0,"Miami International Airport, FL (MIA/KMIA)",sub
2003,16 Dec 2003,Beechcraft 99 Airliner,N399CZ,Freight Runners Express,0,"Wausau-Central Wisconsin Airport, WI (CWA)",w/o
2003,16 Dec 2003,de Havilland Canada DHC-3T/M601 Turbine Otter,C-GOFF,Huron Air,2,"near Jellicoe, ON",w/o
2003,17 Dec 2003,CASA CN-235M-200,F-RAIA,L'Armée de L'Air,7,near Suc-et-Sentenac,w/o
2003,18 Dec 2003,McDonnell Douglas DC-9-15F,HK-4246X,Líneas Aéreas Suramericanas,3,135 km NE of Mitú,w/o
2003,18 Dec 2003,McDonnell Douglas MD-10-10F,N364FE,FedEx Express,0,"Memphis International Airport, TN (MEM)",w/o
2003,19 Dec 2003,Boeing 737-3Y0,TR-LFZ,Air Gabon,0,Libreville Airport (LBV),w/o
2003,20 Dec 2003,Cessna 208B Super Cargomaster,N9469B,Martinaire,0,"Cincinnati/Northern Kentucky Airport, KY (CVG)",sub
2003,20 Dec 2003,Boeing 737-76N,PR-GOO,Gol Linhas Aéreas,0,"Navegantes Airport, SC (NVT)",sub
2003,22 Dec 2003,Boeing 737-73V,G-EZJM,easyJet,0,Amsterdam-Schiphol Airport (AMS),sub
2003,22 Dec 2003,Boeing 737-329,D-ADIE,DBA,0,en route,non
2003,23 Dec 2003,Learjet 24B,N600XJ,Pavair,2,"5 km SE of Helendale, CA",w/o
2003,25 Dec 2003,Boeing 727-223,3X-GDO,Union des Transports Africains de Guinée,141,Cotonou Airport (COO),w/o
2003,27 Dec 2003,Cessna 208B Grand Caravan,7Q-YKU,Air Malawi,0+1,Mzuzu Airport (ZZU),sub
2003,30 Dec 2003,Douglas DC-3C,N781T,Tol Air Services,0,Saint Thomas-Cyril E. King Airport (STT),sub
2004,1 Jan 2004,Beechcraft A100 King Air,C-GFKS,Thunder Airlines,0,"Terrace Bay Airport, ON (YTJ)",sub
2004,1 Jan 2004,McDonnell Douglas DC-9-81 (MD-81),JA8297,Japan Air System,0,Tokunoshima Airport (TKN),sub
2004,3 Jan 2004,Boeing 737-3Q8,SU-ZCF,Flash Airlines,148,15 km S off Sharm el Sheikh,w/o
2004,5 Jan 2004,de Havilland Canada DHC-6 Twin Otter 300,P2-KSG,Regional Air,0,Sturt Island,sub
2004,5 Jan 2004,Fokker 70,OE-LFO,Austrian Airlines,0,"4,5 km from München-Franz Josef Strauss Airport (MUC)",sub
2004,8 Jan 2004,Lockheed C-5B Galaxy,85-0010,United States Air Force - USAF,0,near Baghdad International Airport (SDA),sub
2004,12 Jan 2004,Cessna 550 Citation II,PH-DYN,Dynamic Air,0,Rotterdam Airport (RTM/EHRD),sub
2004,13 Jan 2004,Yakovlev Yak-40,UK-87985,Uzbekistan Airways,37,Tashkent Airport (TAS),w/o
2004,15 Jan 2004,Boeing 747SP-86,EP-IAC,Iran Air,0,Beijing-Capital Airport (PEK),sub
2004,17 Jan 2004,Cessna 208B Grand Caravan,C-FAGA,Georgian Express,10,"3 km NW off Pelee Island, ON",w/o
2004,19 Jan 2004,de Havilland Canada DHC-6 Twin Otter 300,PK-WAX,Air Regional,0,Mulia Airport (LII),sub
2004,20 Jan 2004,Swearingen SA227-AC Metro III,I-BSTI,ItAli Airlines,0,Roma-Fiumicino Airport (FCO),sub
2004,21 Jan 2004,Dassault Falcon 20C,N200JE,Jet Express,0,"Pueblo Memorial Airport, CO (PUB)",sub
2004,25 Jan 2004,Boeing 767-33AER,I-DEIB,Alitalia,0,Dakar-Léopold Sédar Senghor International Airport (DKR),sub
2004,25 Jan 2004,Boeing 747-444,ZS-SAX,South African Airways - SAA,0,Dakar-Léopold Sédar Senghor International Airport (DKR),sub
2004,27 Jan 2004,Ilyushin Il-18D,ER-ICJ,Renan,0,Luena Airport (LUO),w/o
2004,28 Jan 2004,Beechcraft 1900D,7T-VIN,Tassili Airlines,1,5 km S of Ghardaïa-Noumérat Airport (GHA),w/o
2004,30 Jan 2004,Learjet 35A,N39WA,Tri-Coastal Air,0,"Akron/Canton Regional Airport, OH (CAK/KCAK)",sub
2004,31 Jan 2004,Swearingen SA226-TC Metro II,EC-HCU,Medit Air Vuelos Mediterraneo,0,Reus Airport (REU),sub
2004,1 Feb 2004,Saab 340A,N158SD,Shuttle America,0,"Pittsburgh International Airport, PA (PIT/KPIT)",sub
2004,4 Feb 2004,Ilyushin Il-18D,EX-005,"ExpoAir, lsf Phoenix Aviation",0,Colombo-Bandaranaike International Airport (CMB/VCBI),sub
2004,4 Feb 2004,Boeing 737-229C,TJ-AIO,Cameroon Airlines,0,Cotonou Airport (COO),sub
2004,8 Feb 2004,Cessna 208 Caravan I,VH-CYC,Cape York Airlines,0,"off Green Island, QLD",w/o
2004,9 Feb 2004,Dassault Falcon 900EX,VP-BMS,Private,0,London-Luton Airport (LTN/EGGW),sub
2004,10 Feb 2004,Cessna 208B Grand Caravan,N1276P,Grant Aviation,0,"Toksook Bay Airport, AK (OOK)",sub
2004,10 Feb 2004,Fokker 50,EP-LCA,Kish Air,43,3 km NW of Sharjah Airport (SHJ),w/o
2004,12 Feb 2004,British Aerospace 3109 Jetstream 31,OY-MUE,Sun-Air of Scandinavia,0,Aarhus-Tirstrup Airport (AAR),sub
2004,14 Feb 2004,de Havilland Canada DHC-3T Vazar Turbine Otter,C-GOFB,Watson's Skyways,0,"Attawapiskat River, ON",min
2004,20 Feb 2004,Learjet 25B,N24RZ,Skylinks Jets,0,"Fort Lauderdale-Executive Airport, FL (FXE)",sub
2004,20 Feb 2004,McDonnell Douglas DC-9-81 (MD-81),LV-WPY,Austral Lineas Aéreas,0,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE)",min
2004,21 Feb 2004,Boeing 737-59D,G-BVKC,bmibaby,0,Cardiff-Wales Airport (CWL),sub
2004,24 Feb 2004,Saab 340B,N420XJ,Mesaba Airlines,0,"Detroit-Metropolitan Wayne County Airport, MI (DTW/KDTW)",sub
2004,24 Feb 2004,Cessna 500 Citation I,OE-FAN,City-jet Luftfahrtgesellschaft,6,33 km E of Cagliari-Elmas Airport (CAG),w/o
2004,25 Feb 2004,Boeing 737-210C,C-GNWN,First Air,0,"Edmonton International Airport, AB (YEG)",min
2004,26 Feb 2004,Boeing 747-341,TF-ATJ,"Iberia, lsf Air Atlanta Icelandic",0,over Atlantic Ocean,non
2004,26 Feb 2004,Beechcraft 200 Super King Air,Z3-BAB,Macedonian Government,9,10 km SSE of Mostar Airport (OMO),w/o
2004,1 Mar 2004,Airbus A300B4-203,AP-BBA,Pakistan International Airlines - PIA,0,Jeddah-King Abdulaziz International Airport (JED),w/o
