year,date,type,registration,operator,fatalities,location,damage
1990,2 Sep 1990,unknown,,Aeroflot,0,Frunze Airport,unk
1990,6 Sep 1990,Embraer EMB-110P1K Bandeirante,TR-KNB,Force Aérienne Gabonaises,,near Moabi,w/o
1990,9 Sep 1990,Yakovlev Yak-40K,CCCP-87914,"Aeroflot, Kazakstan Civil Aviation Directorate",0,Pavlodar Airport (PWQ),w/o
1990,9 Sep 1990,Yakovlev Yak-40,CCCP-87451,"Aeroflot, Kazakstan Civil Aviation Directorate",0,Pavlodar Airport (PWQ),w/o
1990,10 Sep 1990,Convair CV-240-23,HI-376CT,Aerochago Airlines,2,"W off Mayagüez, San Juan [Caribbean Sea]",mis
1990,11 Sep 1990,Morane Saulnier MS.760B Paris II,N23ST,Stonewall Transport,2,"near Albuquerque, NM",w/o
1990,11 Sep 1990,Boeing 727-247,OB-1303,Faucett Perú,16,"290 km SE off Newfoundland, Canada",mis
1990,12 Sep 1990,Ilyushin Il-14P,CCCP-41803,"Aeroflot, Central Region Civil Aviation Directorate",0,353 km from Mirny Ice Station,w/o
1990,13 Sep 1990,Boeing 737,,Indian Airlines,0,Bangalore-Hindustan Airport (BLR),non
1990,14 Sep 1990,Cessna 208 Caravan I,HK-3510P,Placido Ramirez Buitrago,2,Pereira-Matecaña Airport (PEI),sub
1990,14 Sep 1990,Yakovlev Yak-42,CCCP-42351,"Aeroflot, North Kavkaz Civil Aviation Directorate",4,"1,7 km W of Sverdlovsk-Koltsovo Airport (SVX)",w/o
1990,16 Sep 1990,Howard Cargo Harpoon,N7428C,Confederate Air Force,0,"Conroe-Montgomery County Airport, TX (CXO)",w/o
1990,16 Sep 1990,Learjet 24A,N500P,Connie Kalitta Services,0,"Morristown-Moore-Murrell Airport, TN (MOR)",sub
1990,20 Sep 1990,Embraer EMB-110P1 Bandeirante,PT-FAW,Governo do Estado de Pernambuco,12,"off Fernando de Noronha Airport, FN (FEN)",w/o
1990,20 Sep 1990,Boeing 707-321B,N320MJ,Omega Air Inc,1,"Marana-Pinal Air Park, AZ (MZJ)",w/o
1990,20 Sep 1990,Antonov An-2R,OB-1349,Aero Manu,0,Saylla Chico,w/o
1990,21 Sep 1990,Boeing 707-336C,VR-HKK,Air Hong Kong,0,"Sydney-Kingsford Smith International Airport, NSW (SYD)",sub
1990,24 Sep 1990,Beechcraft Tp 101 (200C Super King Air),101001,Svensk Flygvapnet (Swedish Air Force),2,5 km NNW of Halmstad Airport (HAD),w/o
1990,24 Sep 1990,Cessna 500 Citation I,N79DD,Hi-Tech Helicopters,4,"ca 3 km NW of San Luis Obispo-County Airport, CA (SBP)",w/o
1990,25 Sep 1990,Lockheed P-3C Orion,161762,United States Navy,0,"Crows Landing-Aux Field, CA (NRC)",w/o
